OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE_CODE,PROVINCE_NAME,HLCIT_DISTRICT_CODE,CBS_DISTRICT_CODE,DISTRICT_PCODE,CBS_LU_CODE,HLCIT_LU_CODE,LU_PCODE
1,Aathrai Tribeni Gaunpalika,Taplejung,Aathrai Tribeni,Gaunpalika,1,1,524101,101,NP0101,10105,524 1 01 4 006,NP0101406
2,Maiwakhola Gaunpalika,Taplejung,Maiwakhola,Gaunpalika,1,1,524101,101,NP0101,10104,524 1 01 4 005,NP0101405
3,Meringden Gaunpalika,Taplejung,Meringden,Gaunpalika,1,1,524101,101,NP0101,10103,524 1 01 4 004,NP0101404
4,Mikwakhola Gaunpalika,Taplejung,Mikwakhola,Gaunpalika,1,1,524101,101,NP0101,10102,524 1 01 4 002,NP0101402
5,Phaktanglung Gaunpalika,Taplejung,Phaktanglung,Gaunpalika,1,1,524101,101,NP0101,10101,524 1 01 4 001,NP0101401
6,Phungling Nagarpalika,Taplejung,Phungling,Nagarpalika,1,1,524101,101,NP0101,10106,524 1 01 3 001,NP0101301
7,Sidingba Gaunpalika,Taplejung,Sidingba,Gaunpalika,1,1,524101,101,NP0101,10109,524 1 01 4 008,NP0101408
8,Sirijangha Gaunpalika,Taplejung,Sirijangha,Gaunpalika,1,1,524101,101,NP0101,10108,524 1 01 4 003,NP0101403
9,Pathibhara Yangwarak Gaunpalika,Taplejung,Pathibhara Yangwarak,Gaunpalika,1,1,524101,101,NP0101,10107,524 1 01 4 007,NP0101407
10,Falelung Gaunpalika,Panchthar,Falelung,Gaunpalika,1,1,524102,109,NP0102,10903,524 1 02 4 003,NP0102403
11,Falgunanda Gaunpalika,Panchthar,Falgunanda,Gaunpalika,1,1,524102,109,NP0102,10905,524 1 02 4 005,NP0102405
12,Hilihang Gaunpalika,Panchthar,Hilihang,Gaunpalika,1,1,524102,109,NP0102,10902,524 1 02 4 001,NP0102401
13,Kummayak Gaunpalika,Panchthar,Kummayak,Gaunpalika,1,1,524102,109,NP0102,10906,524 1 02 4 004,NP0102404
14,Miklajung Gaunpalika,Panchthar,Miklajung,Gaunpalika,1,1,524102,109,NP0102,10908,524 1 02 4 007,NP0102407
15,Phidim Nagarpalika,Panchthar,Phidim,Nagarpalika,1,1,524102,109,NP0102,10904,524 1 02 3 001,NP0102301
16,Tumbewa Gaunpalika,Panchthar,Tumbewa,Gaunpalika,1,1,524102,109,NP0102,10907,524 1 02 4 006,NP0102406
17,Yangwarak Gaunpalika,Panchthar,Yangwarak,Gaunpalika,1,1,524102,109,NP0102,10901,524 1 02 4 002,NP0102402
